student_id,study_hours,attendance_rate,assignments_completed,final_score
1,12.2,61.0,6,71.5
2,3.6,89.6,8,75.0
3,3.4,76.9,4,62.0
4,11.6,82.4,9,89.2
5,12.4,81.8,5,76.4
6,15.9,90.4,5,96.0
7,13.2,73.6,5,81.6
8,3.6,75.2,6,71.9
9,15.6,84.1,10,99
10,4.0,96.9,4,72.2
11,10.8,93.2,8,94.0
12,5.1,62.8,9,56.9
13,5.6,71.6,4,68.3
14,8.1,78.1,10,66.7
15,7.8,74.8,5,62.6
16,12.9,62.9,9,68.9
17,4.7,89.2,5,63.5
18,16.8,87.5,5,95.9
19,13.0,93.7,10,99
20,14.9,76.0,4,87.1
21,5.4,97.7,9,77.1
22,8.3,96.6,7,93.3
23,4.3,65.6,9,56.0
24,11.4,95.9,7,88.3
25,7.8,99.9,5,78.6
26,2.8,64.4,9,56.9
27,4.6,87.2,8,78.4
28,17.9,81.2,8,99
29,15.8,60.5,9,94.5
30,14.0,90.7,6,99
31,3.8,77.4,7,74.6
32,13.5,98.9,10,99
33,4.9,96.5,10,71.4
34,10.1,68.0,6,61.1
35,14.2,81.6,10,99
36,11.6,79.5,4,69.9
37,16.9,95.1,10,99
38,5.9,82.7,4,61.6
39,3.4,79.4,4,67.7
40,4.0,86.4,8,69.1
41,4.6,81.1,8,64.4
42,10.6,89.2,5,84.1
43,13.4,76.0,9,82.4
44,10.3,64.8,5,61.7
45,3.0,60.8,8,54.7
46,3.1,85.2,5,68.1
47,3.1,61.3,6,56.2
48,12.7,68.6,5,77.4
49,13.6,95.3,8,84.2
50,14.9,67.6,4,80.1
51,12.5,74.2,7,69.7
52,12.8,99.4,4,93.2
53,3.0,89.1,10,76.0
54,5.0,77.9,7,62.3
55,4.9,78.5,10,77.7
56,15.8,82.0,4,84.3
57,12.4,81.6,4,95.8
58,15.6,66.7,7,80.4
59,9.7,94.6,4,81.6
60,8.2,97.1,10,88.8
61,9.3,76.9,9,87.2
62,13.5,66.2,6,76.9
63,5.5,62.3,9,50.6
64,2.9,83.4,8,63.2
65,16.7,81.2,4,92.2
66,5.0,83.8,9,71.9
67,15.8,76.2,8,90.9
68,11.9,76.8,8,91.8
69,11.0,72.7,6,78.3
70,5.8,75.8,9,80.6
71,12.3,78.3,10,88.0
72,11.9,82.5,4,79.2
73,3.2,68.5,6,60.1
74,3.1,69.8,6,61.0
75,4.5,93.3,9,70.2
76,14.9,81.2,9,99
77,15.1,72.0,9,99
78,6.2,95.6,9,90.4
79,10.9,70.9,8,78.5
80,13.0,94.1,8,99
81,9.8,96.2,10,99
82,15.3,61.8,6,81.8
83,14.3,85.5,6,93.5
84,13.3,82.4,4,89.0
85,3.2,95.3,5,56.2
86,11.3,65.9,5,66.9
87,2.7,74.6,10,65.9
88,7.7,87.3,9,80.1
89,3.6,91.2,10,67.0
90,4.5,97.2,10,85.8
91,4.6,92.0,5,71.4
92,13.8,73.3,7,82.1
93,14.8,94.6,10,99
94,13.2,75.3,4,82.6
95,15.7,68.9,10,95.1
96,15.1,94.9,5,91.7
97,2.4,67.7,6,53.0
98,14.4,74.0,8,89.0
99,8.4,99.2,8,86.2
100,16.0,70.4,8,89.4
